timestep,width,height,count_for_type_0,count_for_type_1,count_for_type_2,count_for_type_3,count_for_type_4
0,50,50,2241,58,85,90,26
1,50,50,1841,458,85,90,26
2,50,50,1270,1029,85,0,116
3,50,50,789,1497,58,40,116
4,50,50,401,1485,458,40,116
5,50,50,205,1110,1029,0,156
6,50,50,113,708,1497,26,156
7,50,50,239,390,1485,230,156
8,50,50,488,226,1110,494,182
9,50,50,731,121,708,554,386
10,50,50,898,78,390,458,676
11,50,50,965,76,226,293,940
12,50,50,1001,88,121,156,1134
13,50,50,1002,92,78,95,1233
14,50,50,970,108,76,56,1290
15,50,50,925,131,88,28,1328
16,50,50,895,148,92,19,1346
17,50,50,864,151,108,21,1356
18,50,50,815,161,131,28,1365
19,50,50,767,177,148,31,1377
20,50,50,728,190,151,38,1393
21,50,50,696,185,161,50,1408
22,50,50,652,186,177,54,1431
23,50,50,627,175,190,50,1458
24,50,50,615,159,185,56,1485
25,50,50,598,138,186,70,1508
26,50,50,577,137,175,70,1541
27,50,50,555,145,159,63,1578
28,50,50,540,147,138,64,1611
29,50,50,520,141,137,61,1641
30,50,50,512,123,145,45,1675
31,50,50,522,91,147,38,1702
32,50,50,536,58,141,45,1720
33,50,50,546,37,123,54,1740
34,50,50,549,36,91,59,1765
35,50,50,558,36,58,54,1794
36,50,50,565,33,37,41,1824
37,50,50,567,26,36,23,1848
38,50,50,566,20,36,13,1865
39,50,50,564,20,33,12,1871
40,50,50,563,20,26,13,1878
41,50,50,560,23,20,14,1883
42,50,50,559,19,20,11,1891
43,50,50,555,19,20,9,1897
44,50,50,554,15,23,6,1902
45,50,50,560,11,19,4,1906
46,50,50,561,6,19,6,1908
47,50,50,564,4,15,7,1910
48,50,50,566,4,11,5,1914
49,50,50,569,3,6,5,1917
50,50,50,569,1,4,7,1919
